Text,Sentiment,Positive
En el mes de agosto por pagu¿ 3 cuotas,positivo,1
Ya pague sta cuota,positivo,1
"y sobre su Empresa, que recibo constantes mensajes que me molestan.",positivo,1
Quien eres carajo,positivo,1
Que equipos???,positivo,1
Srs. De financiera Efectiva no se de que cuota me informan si yo no tengo cuenta con Utds. ,positivo,1
cual tu cuota  hoy mismo te boy a publicar por el radio ratero,positivo,1
Soy músico con que plata piensan que pague,positivo,1
Buenas esta pescando mañana entra y por ahi estara cancelando ,positivo,1
Soy ines,positivo,1
"El numero 999519091 realizo una llamada, busca comunicarse contigo.",positivo,1
Ya pague desde el lunessss,positivo,1
Sres de Accesso en este momento es imposible pagar mi esposa se encuentra con covi 19 y es posible q tenga q guardar cuarentena también ambos vivimos sol,positivo,1
Habla con el hijo de la sra benita quien hizo el contrato no se va a devolver los equipo puesto a que cuando eso hizo el trato con el asesor de movistar,positivo,1
Sigues con tus mensajes de texto te reportare por mensajes Spam.,positivo,1
Yo pago el 15 de cada mes y dej¿ de hostigar ok,positivo,1
Yo tengo 8 comprobantes con 428 soles ,positivo,1
ene mensaje q tengo q pagar,positivo,1
"Sr. Buenas noches, lo siento estoy fuera de Lima hace un año.",positivo,1
multa pecuniaria Deje de Amenazar,positivo,1
Me voy acercar,positivo,1
Por favor cuato es m cota,positivo,1
Quiero que me refinanciar mi cuota,positivo,1
"El numero 949788767 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Señores buenos dias es verdad los dias de atraso pero escapan a mi situacion economica fui victima del covi solicito reprogramacion para poder salir de e,positivo,1
Por favor revisen mis cuotas...en agosto acabo mis pagos...ya no debo,positivo,1
Ya la otra semana pago,positivo,1
"El numero 937417095 realizo una llamada, busca comunicarse contigo.",positivo,1
"El numero 964753510 realizo una llamada, busca comunicarse contigo.",positivo,1
Ahora no hay plata ni trabajo algun dia lo pagaré,positivo,1
Ok me acercaré para poder obtener una facilidad de pago porfavor,positivo,1
Yo no hice ese pedido de esa cantidad,positivo,1
Fuera CTM quen eres,positivo,1
Hola mi amor,positivo,1
X favor verifique xq estoy al dia,positivo,1
Ya pagr,positivo,1
Que equipos no me jodan voy a dar de baja a t odo,positivo,1
"Así es, gracias",positivo,1
A que se debe la urgencia??,positivo,1
Estoy al dia con los pagos,positivo,1
Mañana temprano le estoy cancelando,positivo,1
"El numero 929687806 realizo una llamada, busca comunicarse contigo.",positivo,1
"Por favor no esten tanto molestando, ya converse ese caso en la misma oficina",positivo,1
r entiéndeme .,positivo,1
Le estaba llamando para consultar de mi deuda muchas gracias,positivo,1
Eviten se de problemas,positivo,1
As? esa la programaci?n de pago,positivo,1
"El numero 950848316 quiere comunicarse contigo, si deseas llamalo.",positivo,1
"Disculpa pero me toca pagar todos los viernes aun no es viernes , el dia viernes pagare mis dos cuotas , gracias .",positivo,1
Ayer fui a depositar,positivo,1
El 30 me pagan ese dia ir a pagar !,positivo,1
Xq tienen q estar llanfome 4 días antes del pago,positivo,1
Me puede enviar mi codigo??,positivo,1
"El numero 921034928 realizo una llamada, busca comunicarse contigo.",positivo,1
Ya se hdp,positivo,1
Muchisimas gracias!!! Estaremos cumpliendo en esa fecha.,positivo,1
"Buenas tardes, ya pague mi cuota. muchas gracias por la consideracion.",positivo,1
 Bnas tardes disculpe me llego este mensaje yo ya cancele mi letra del banco deaqui me toca el 18 de este mes de septiembre ok,positivo,1
Esto es ACOSO,positivo,1
"Que equipos, si son robados",positivo,1
Para que ladron,positivo,1
Gracias ya adquiri un kia,positivo,1
Ya no jodassss,positivo,1
"El numero 989723304 realizo una llamada, busca comunicarse contigo.",positivo,1
El pago que tengo que Aser es el d?a 26-10-2020,positivo,1
Buenas tardes el mes pasado cancele el pago no debia nada ,positivo,1
o cancelado  comuníquese con el señor  Miguel Reynoso TFC,positivo,1
Buenas tardes. Disculpe a mi el Banco Pichincha me compro la deuda el total. No se por qué me han descontado y me siguen cobrando. Ojala pase todo esta p,positivo,1
No se que puedo hacer,positivo,1
"El numero 945149807 realizo una llamada, busca comunicarse contigo.",positivo,1
Como ya page averiguense bien,positivo,1
Si pague consult con Sr Inga C Mocho,positivo,1
"y tuve q coger el dinero, por favor comprendame",positivo,1
Pague,positivo,1
Aea mongol estafador :7,positivo,1
Ctm yo no tengo deuda revisen bien a quien llaman carajo,positivo,1
No debo nada por la puta que los pario.!!!!!!,positivo,1
Muchas gracias ojala pueda contar con el crédito,positivo,1
No tengo plata para pagar los intereses pues durante la emergencia no trabaj¿,positivo,1
voy a pagar mañana,positivo,1
Y tampoco responden mi mensaje,positivo,1
No estén enviando mensajes q deuda tengo con Uds...,positivo,1
Cuanta personas hay desemplado ya el covi ya paso qeremos trabajar para pagar. Deudas pendiente ,positivo,1
Quien mrd te ah dado mi numero,positivo,1
"El numero 975401376 realizo una llamada, busca comunicarse contigo.",positivo,1
Yo no debo mucho menos al efectiva,positivo,1
Buenos Dia quienes son ustedes por que yo se que debo y debo a mas de 6 identidades y no se quien es usted de que empresa identidad me habla,positivo,1
No devo nada,positivo,1
Tam ien por favor que me devuelvan 180 soles que abone porfavor que 2 veces he ido al banco y no los han devuelto,positivo,1
Buenas tardes ha un seguimos con la pandemia hasta q.hora atienden las agencias gracias,positivo,1
No llamo a Call Centers de cobranza,positivo,1
"Se equivoca, por favor revise bien yo ya hice el pago en agosto.",positivo,1
con quien tengo el gusto,positivo,1
Si pero en ica,positivo,1
"Yo les debo, no jodan",positivo,1
Disculpe yo no debo de Esika por fabor no molenten ok,positivo,1
Porque esas maquinas lo he dejado guardado y estoy pagando el espacio guardado mensual,positivo,1
El señor Raul Flores a fallecido el ocho de abril 2020 por esta pandemia,positivo,1
Por. Fabor no me mande mensaje por qué ha entel no debo ni un solo centavo,positivo,1
Deja molestar señor,positivo,1
Yo no tengo cota para pagar,positivo,1
Que cobros me van hacer si son ustedes los que deben programar cuando vienen y en que horario?,positivo,1
ue nos puedan ayudar ,positivo,1
"El numero 965109207 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Dejen de mandar eso aca,positivo,1
Estimados. Les dije que voy a revisar las boletas no pueden enviar mensajes amenazantes de reporte a las centrales de riesgo. Presentare mi queja formal,positivo,1
Campofe :quién le saluda es la Sra.Garcia Marquez Grimanesa Celinda DNI: 06262619. Ayer cancele la deuda vencida de Campo Fe.  en el a Agente BCP De Nara,positivo,1
"Tengo solo 300 soles, ustedes diran",positivo,1
"mas mensajes, no mas llamadas, gracias",positivo,1
No tengo deudas por favor,positivo,1
"Buenas tardes, puede mandarme el codigo para pagar",positivo,1
"El numero 998911563 quiere comunicarse contigo, si deseas llamalo.",positivo,1
No debo a Avon,positivo,1
Buenas tardes disculpe primero verifiquen yo ya depocite ayer con moras ahi esta el boucher,positivo,1
Si falta todavia,positivo,1
ncia de mi parte como de mis hermanas. Saben que esto que hacen est,positivo,1
Ya hice el pago,positivo,1
Que cuota si no debo nada,positivo,1
hola buen dia ,positivo,1
s y hasta en llamadas algunas veces. Actulicen su base de datos.,positivo,1
BUENOS DIAS EL sabado estaba esperando no llegaron esta semana no estaré ahi estaré miércoles 30 de este mes mejor programa para el miércoles 30 de este,positivo,1
Ya sr reañizo la cancelacion,positivo,1
No tengo plata recién voy a trabajar estuve enfermo y mí familia ta,positivo,1
Esta Linea es nueva,positivo,1
De que deyda me estas hablando,positivo,1
"El numero 978524883 quiere comunicarse contigo, si deseas llamalo.",positivo,1
No los conozco seres GNB,positivo,1
"El numero 910249045 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Listo ,positivo,1
No sé de que abla,positivo,1
Ya%20hice%20el%20pago%20%20aproximadamente%20al%20medio%20dia,positivo,1
Solo comunocarse por este medio..no fijo por favor,positivo,1
ya page nojodas,positivo,1
Buenos dias como puedo hacer para obtener mi carta de no adeudo si aun tengo Frida pero estoy sin trabajo como hago,positivo,1
Como puedo financiar mi deuda,positivo,1
Para su conocimiento mis equipos estan cancelados,positivo,1
Y de donde se va pagar Si no estamos trabajando,positivo,1
"El numero 938425884 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Ya pague 4 semanas mas bien gracias por hacerme acordar,positivo,1
mes de Octubre muchas gracias puedad por favor.,positivo,1
"El numero 953960732 realizo una llamada, busca comunicarse contigo.",positivo,1
Dejen de molestar siiiiii estar estafando a la gente.,positivo,1
"El numero 950076841 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Estoy esperando mas de una semana mi clave para cobrar y no llega,positivo,1
"El numero 980448702 realizo una llamada, busca comunicarse contigo.",positivo,1
"El numero 973879879 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Perdon?? Yo no debo a nadie,positivo,1
Mandas mensajes y no dices de que trata,positivo,1
Buen dia llame al fono legal y no responden ,positivo,1
Acabo de enviar un mensaje a su página porque estoy en desacuerdo c,positivo,1
Buenas tarde yo me dirijo ala caja sullana k por motivos de la pandemia kiero k me reprograme mi conograma asta enero para poder cancelar yo rosa Morales,positivo,1
Ok cuando puedo saver si acredito,positivo,1
"De que miércoles de equipos me hablan, sinvergüenzas. Todo lo compr",positivo,1
No voy a pagar desde mes de mayo deje de utilizar,positivo,1
Mandame el monto por favor. GRACIAS,positivo,1
Cuánto tengo que pagar,positivo,1
k sinifica est letras null kien eres,positivo,1
"Quiero mi reprogramacion de mi pago x favor para el siguiente mes.Me encuentro trabajando fuera de arequipa,donde no tengo acceso al banco ni cajero,esta",positivo,1
Quién eres.,positivo,1
Lo ire pagar el luns sin falta,positivo,1
ese pago.En todo caso les rogaria dejarlo pendiente al final y cuando llegue me acercaré para hacer el pago correspondiente.Mucho agradeceré acceder a mi,positivo,1
Quién mierda eres para mandarme estos mensajes,positivo,1
Ya lo cancele,positivo,1
Lo realizaré en mi trabajo por seguridad NO por teléfono.,positivo,1
Estoy llamando pero no me contestan,positivo,1
Ya me acerco mañana a pagar les duplicaria que me envien los mensajes con 2 dias de anticipacion por que a veces estoy muy ocupado y me olvido mil discul,positivo,1
??????????????????????????,positivo,1
Como que cuota,positivo,1
Sobre d q abla este numero m vendio un amigo con todo selular,positivo,1
Buenas tardes srta. Cuanto lo dene la señora Gladys para cancelarlo. Att. Ever Janampa Solier,positivo,1
sces no niego Mi deuda pero no tengo como pagar la única solucion e,positivo,1
Mi codigo,positivo,1
